"Israel is open to Gaza fighting pauses for aid, hostages","7 November 2023, 7:25 AM"
Appeal for pro-Palestine march to be postponed in London,"6 November 2023, 9:29 PM"
FF Plus unhappy with SA’s decision to withdraw diplomats from Israel,"6 November 2023, 8:53 PM"
SA to recall its diplomats from Israel: Cabinet,"6 November 2023, 11:32 AM"
Vavi condemns US for supplying arms to Israel in the Israel-Hamas war,"4 November 2023, 12:52 PM"
DA removes Cachalia over comments on Israel’s actions in Gaza,"3 November 2023, 7:40 AM"
Israel urged to halt attacks to allow humanitarian aid in Gaza,"3 November 2023, 6:20 AM"
Israel’s strikes on refugee camp kills more than 195 people,"2 November 2023, 9:58 AM"
Capetonians march in solidarity with Palestine,"28 October 2023, 5:11 PM"
Israel stepping up ground operations in Gaza Strip,"28 October 2023, 11:51 AM"
Pro-Palestine march in Bloemfontein: memorandum delivered to Premier,"27 October 2023, 7:45 PM"
Malaysia warns Meta and TikTok against blocking pro-Palestine content,"26 October 2023, 8:21 PM"
EFF accuses SA government of cowardice over Israel-Hamas conflict,"23 October 2023, 12:34 PM"
Boesak calls for Israel to be branded as an apartheid state,"22 October 2023, 8:05 PM"
Israel won’t engage in any talks until its dealt with Hamas: Chikli,"17 October 2023, 8:33 PM"
We have no confidence in America: Pro-Palestine picketers in Durban,"17 October 2023, 2:12 PM"
Ramaphosa reiterates SA’s non-partisan position on Hamas-Israeli war,"16 October 2023, 9:29 PM"
Scenes of desperation at Rafah crossing between Egypt and Palestine,"16 October 2023, 7:00 PM"
Israel determined to ensure the safety of its civilians: Ambassador,"15 October 2023, 3:32 PM"
Pandor calls for boycott of Israeli goods amid ongoing Gaza strikes,"15 October 2023, 6:30 AM"
Israel prepares for ground offensive in Gaza,"13 October 2023, 5:55 PM"
Biden warns Iran over Gaza; Israel forms emergency war cabinet,"12 October 2023, 5:48 AM"
Call for SA govt to cut ties with Israel,"11 October 2023, 8:06 PM"
"Hamas, Israel attacks described as “Bone-chilling”","11 October 2023, 6:11 PM"
Hamas threatens to kill captives if Israel strikes civilians,"10 October 2023, 6:51 AM"
"Israel on war footing, Hamas threatens to kill captives","10 October 2023, 12:12 AM"
Schumer calls on Xi to support Israel after Hamas attacks,"9 October 2023, 6:59 PM"
Hamas-Israeli conflict causes massive flight cancellation in Tel Aviv,"9 October 2023, 8:06 AM"
Ongoing Israeli strikes on Gaza result in more deaths,"8 October 2023, 5:21 PM"
Brazil to call emergency meeting of UNSC over attack on Israel,"7 October 2023, 5:19 PM"
"Violence worsens in West Bank, Israel","21 August 2023, 10:36 PM"
NFP calls for SA Embassy in Israel to be downgraded,"2 March 2023, 5:10 PM"
Anglican Church raises awareness on injustices against Palestine,"30 September 2022, 5:55 PM"
Israel failed to implement UN resolutions aimed to bring peace to Middle East: Pandor,"26 July 2022, 9:29 PM"
Mahmoud Abbas confident that a two-state solution will resolve the Israeli-Palestinian conflict,"16 July 2022, 6:05 PM"
Israeli police beat mourners at funeral of slain Palestinian journalist,"14 May 2022, 8:01 AM"
